"REF_DATE","GEO","Labour force characteristics","VALUE"
"1977-03","Alberta","Unemployment rate",4.6
"1977-03","Alberta","Participation rate",67.4
"1977-03","Alberta","Employment rate",64.3
"1977-03","British Columbia","Population",1907.2
"1977-03","British Columbia","Labour force",1176
"1977-03","British Columbia","Employment",1080.1
"1977-03","British Columbia","Full-time employment",917.1
"1977-03","British Columbia","Part-time employment ",163
"1977-03","British Columbia","Unemployment",95.9
"1977-03","British Columbia","Unemployment rate",8.2
"1977-03","British Columbia","Participation rate",61.7
"1977-03","British Columbia","Employment rate",56.6
"1977-04","Newfoundland and Labrador","Population",374.9
"1977-04","Newfoundland and Labrador","Labour force",187
"1977-04","Newfoundland and Labrador","Employment",157.9
"1977-04","Newfoundland and Labrador","Full-time employment",145.5
"1977-04","Newfoundland and Labrador","Part-time employment ",12.4
"1977-04","Newfoundland and Labrador","Unemployment",29.1
"1977-04","Newfoundland and Labrador","Unemployment rate",15.6
"1977-04","Newfoundland and Labrador","Participation rate",49.9
"1977-04","Newfoundland and Labrador","Employment rate",42.1
"1977-04","Prince Edward Island","Population",84.1
"1977-04","Prince Edward Island","Labour force",48.1
"1977-04","Prince Edward Island","Employment",43.6
"1977-04","Prince Edward Island","Full-time employment",36.8
"1977-04","Prince Edward Island","Part-time employment ",6.8
"1977-04","Prince Edward Island","Unemployment",4.5
"1977-04","Prince Edward Island","Unemployment rate",9.4
"1977-04","Prince Edward Island","Participation rate",57.2
"1977-04","Prince Edward Island","Employment rate",51.8
"1977-04","Nova Scotia","Population",596.9
"1977-04","Nova Scotia","Labour force",334.9
"1977-04","Nova Scotia","Employment",299.6
"1977-04","Nova Scotia","Full-time employment",259
"1977-04","Nova Scotia","Part-time employment ",40.6
"1977-04","Nova Scotia","Unemployment",35.3
"1977-04","Nova Scotia","Unemployment rate",10.5
"1977-04","Nova Scotia","Participation rate",56.1
"1977-04","Nova Scotia","Employment rate",50.2
"1977-04","New Brunswick","Population",489.1
"1977-04","New Brunswick","Labour force",261.3
"1977-04","New Brunswick","Employment",228.8
"1977-04","New Brunswick","Full-time employment",203.1
"1977-04","New Brunswick","Part-time employment ",25.7
"1977-04","New Brunswick","Unemployment",32.5
"1977-04","New Brunswick","Unemployment rate",12.4
"1977-04","New Brunswick","Participation rate",53.4
"1977-04","New Brunswick","Employment rate",46.8
"1977-04","Quebec","Population",4799.6
"1977-04","Quebec","Labour force",2842.9
"1977-04","Quebec","Employment",2564.3
"1977-04","Quebec","Full-time employment",2310.5
"1977-04","Quebec","Part-time employment ",253.8
"1977-04","Quebec","Unemployment",278.7
"1977-04","Quebec","Unemployment rate",9.8
"1977-04","Quebec","Participation rate",59.2
"1977-04","Quebec","Employment rate",53.4
"1977-04","Ontario","Population",6306.9
"1977-04","Ontario","Labour force",4066.5
"1977-04","Ontario","Employment",3784.1
"1977-04","Ontario","Full-time employment",3271.4
"1977-04","Ontario","Part-time employment ",512.8
"1977-04","Ontario","Unemployment",282.4
"1977-04","Ontario","Unemployment rate",6.9
"1977-04","Ontario","Participation rate",64.5
"1977-04","Ontario","Employment rate",60
"1977-04","Manitoba","Population",745.4
"1977-04","Manitoba","Labour force",465.7
"1977-04","Manitoba","Employment",439.8
"1977-04","Manitoba","Full-time employment",369.9
"1977-04","Manitoba","Part-time employment ",70
"1977-04","Manitoba","Unemployment",25.9
"1977-04","Manitoba","Unemployment rate",5.6
"1977-04","Manitoba","Participation rate",62.5
"1977-04","Manitoba","Employment rate",59
"1977-04","Saskatchewan","Population",668.4
"1977-04","Saskatchewan","Labour force",414
"1977-04","Saskatchewan","Employment",395.7
"1977-04","Saskatchewan","Full-time employment",334.9
"1977-04","Saskatchewan","Part-time employment ",60.8
"1977-04","Saskatchewan","Unemployment",18.3
"1977-04","Saskatchewan","Unemployment rate",4.4
"1977-04","Saskatchewan","Participation rate",61.9
"1977-04","Saskatchewan","Employment rate",59.2
"1977-04","Alberta","Population",1382.9
"1977-04","Alberta","Labour force",940.1
"1977-04","Alberta","Employment",902.1
"1977-04","Alberta","Full-time employment",775.2
"1977-04","Alberta","Part-time employment ",126.9
"1977-04","Alberta","Unemployment",38
"1977-04","Alberta","Unemployment rate",4
"1977-04","Alberta","Participation rate",68
"1977-04","Alberta","Employment rate",65.2
"1977-04","British Columbia","Population",1910.4
"1977-04","British Columbia","Labour force",1181
"1977-04","British Columbia","Employment",1076.6
"1977-04","British Columbia","Full-time employment",914.2
"1977-04","British Columbia","Part-time employment ",162.4
"1977-04","British Columbia","Unemployment",104.3
"1977-04","British Columbia","Unemployment rate",8.8
"1977-04","British Columbia","Participation rate",61.8
"1977-04","British Columbia","Employment rate",56.4
"1977-05","Newfoundland and Labrador","Population",375.5
"1977-05","Newfoundland and Labrador","Labour force",190.5
"1977-05","Newfoundland and Labrador","Employment",163.3
"1977-05","Newfoundland and Labrador","Full-time employment",149.3
"1977-05","Newfoundland and Labrador","Part-time employment ",14
"1977-05","Newfoundland and Labrador","Unemployment",27.2
"1977-05","Newfoundland and Labrador","Unemployment rate",14.3
"1977-05","Newfoundland and Labrador","Participation rate",50.7
"1977-05","Newfoundland and Labrador","Employment rate",43.5
"1977-05","Prince Edward Island","Population",84.3
"1977-05","Prince Edward Island","Labour force",48.1
"1977-05","Prince Edward Island","Employment",43.3
"1977-05","Prince Edward Island","Full-time employment",37.1
"1977-05","Prince Edward Island","Part-time employment ",6.2
"1977-05","Prince Edward Island","Unemployment",4.8
"1977-05","Prince Edward Island","Unemployment rate",10
"1977-05","Prince Edward Island","Participation rate",57.1
"1977-05","Prince Edward Island","Employment rate",51.4
"1977-05","Nova Scotia","Population",597.8
"1977-05","Nova Scotia","Labour force",332.8
"1977-05","Nova Scotia","Employment",297.6
"1977-05","Nova Scotia","Full-time employment",257.3
"1977-05","Nova Scotia","Part-time employment ",40.3
"1977-05","Nova Scotia","Unemployment",35.2
"1977-05","Nova Scotia","Unemployment rate",10.6
"1977-05","Nova Scotia","Participation rate",55.7
"1977-05","Nova Scotia","Employment rate",49.8
"1977-05","New Brunswick","Population",490
"1977-05","New Brunswick","Labour force",260.5
"1977-05","New Brunswick","Employment",225.6
"1977-05","New Brunswick","Full-time employment",199.1
"1977-05","New Brunswick","Part-time employment ",26.5
"1977-05","New Brunswick","Unemployment",34.9
"1977-05","New Brunswick","Unemployment rate",13.4
"1977-05","New Brunswick","Participation rate",53.2
"1977-05","New Brunswick","Employment rate",46
"1977-05","Quebec","Population",4806.2
"1977-05","Quebec","Labour force",2845.9
"1977-05","Quebec","Employment",2565.4
"1977-05","Quebec","Full-time employment",2306.7
"1977-05","Quebec","Part-time employment ",258.7
"1977-05","Quebec","Unemployment",280.5
"1977-05","Quebec","Unemployment rate",9.9
"1977-05","Quebec","Participation rate",59.2
"1977-05","Quebec","Employment rate",53.4
"1977-05","Ontario","Population",6319.8
"1977-05","Ontario","Labour force",4074.7
"1977-05","Ontario","Employment",3794.7
"1977-05","Ontario","Full-time employment",3270
"1977-05","Ontario","Part-time employment ",524.7
"1977-05","Ontario","Unemployment",280
"1977-05","Ontario","Unemployment rate",6.9
"1977-05","Ontario","Participation rate",64.5
"1977-05","Ontario","Employment rate",60
"1977-05","Manitoba","Population",746.4
"1977-05","Manitoba","Labour force",461.8
"1977-05","Manitoba","Employment",438.1
"1977-05","Manitoba","Full-time employment",373.6
"1977-05","Manitoba","Part-time employment ",64.6
"1977-05","Manitoba","Unemployment",23.7
"1977-05","Manitoba","Unemployment rate",5.1
"1977-05","Manitoba","Participation rate",61.9
"1977-05","Manitoba","Employment rate",58.7
"1977-05","Saskatchewan","Population",669.7
"1977-05","Saskatchewan","Labour force",409.1
"1977-05","Saskatchewan","Employment",391.2
"1977-05","Saskatchewan","Full-time employment",329.8
"1977-05","Saskatchewan","Part-time employment ",61.4
"1977-05","Saskatchewan","Unemployment",17.8
"1977-05","Saskatchewan","Unemployment rate",4.4
"1977-05","Saskatchewan","Participation rate",61.1
"1977-05","Saskatchewan","Employment rate",58.4
"1977-05","Alberta","Population",1389.7
"1977-05","Alberta","Labour force",939.5
"1977-05","Alberta","Employment",896.9
"1977-05","Alberta","Full-time employment",768.9
"1977-05","Alberta","Part-time employment ",128
"1977-05","Alberta","Unemployment",42.6
"1977-05","Alberta","Unemployment rate",4.5
"1977-05","Alberta","Participation rate",67.6
"1977-05","Alberta","Employment rate",64.5
"1977-05","British Columbia","Population",1914.6
"1977-05","British Columbia","Labour force",1187
"1977-05","British Columbia","Employment",1095.9
"1977-05","British Columbia","Full-time employment",928
"1977-05","British Columbia","Part-time employment ",167.9
"1977-05","British Columbia","Unemployment",91.1
"1977-05","British Columbia","Unemployment rate",7.7
"1977-05","British Columbia","Participation rate",62
"1977-05","British Columbia","Employment rate",57.2
"1977-06","Newfoundland and Labrador","Population",376
"1977-06","Newfoundland and Labrador","Labour force",190
"1977-06","Newfoundland and Labrador","Employment",160.5
"1977-06","Newfoundland and Labrador","Full-time employment",147.8
"1977-06","Newfoundland and Labrador","Part-time employment ",12.6
"1977-06","Newfoundland and Labrador","Unemployment",29.5
"1977-06","Newfoundland and Labrador","Unemployment rate",15.5
"1977-06","Newfoundland and Labrador","Participation rate",50.5
"1977-06","Newfoundland and Labrador","Employment rate",42.7
"1977-06","Prince Edward Island","Population",84.4
"1977-06","Prince Edward Island","Labour force",47.9
"1977-06","Prince Edward Island","Employment",43.5
"1977-06","Prince Edward Island","Full-time employment",37.2
"1977-06","Prince Edward Island","Part-time employment ",6.3
"1977-06","Prince Edward Island","Unemployment",4.4
"1977-06","Prince Edward Island","Unemployment rate",9.2
"1977-06","Prince Edward Island","Participation rate",56.8
"1977-06","Prince Edward Island","Employment rate",51.5
"1977-06","Nova Scotia","Population",598.4
"1977-06","Nova Scotia","Labour force",332.6
"1977-06","Nova Scotia","Employment",297.3
"1977-06","Nova Scotia","Full-time employment",258.6
"1977-06","Nova Scotia","Part-time employment ",38.7
"1977-06","Nova Scotia","Unemployment",35.3
"1977-06","Nova Scotia","Unemployment rate",10.6
"1977-06","Nova Scotia","Participation rate",55.6
"1977-06","Nova Scotia","Employment rate",49.7
"1977-06","New Brunswick","Population",490.5
"1977-06","New Brunswick","Labour force",259.8
"1977-06","New Brunswick","Employment",226.2
"1977-06","New Brunswick","Full-time employment",199.7
"1977-06","New Brunswick","Part-time employment ",26.4
"1977-06","New Brunswick","Unemployment",33.7
"1977-06","New Brunswick","Unemployment rate",13
"1977-06","New Brunswick","Participation rate",53
"1977-06","New Brunswick","Employment rate",46.1
"1977-06","Quebec","Population",4810.3
"1977-06","Quebec","Labour force",2839.1
"1977-06","Quebec","Employment",2555
"1977-06","Quebec","Full-time employment",2309.1
"1977-06","Quebec","Part-time employment ",245.9
"1977-06","Quebec","Unemployment",284
"1977-06","Quebec","Unemployment rate",10
"1977-06","Quebec","Participation rate",59
"1977-06","Quebec","Employment rate",53.1
"1977-06","Ontario","Population",6330.4
"1977-06","Ontario","Labour force",4073.1
"1977-06","Ontario","Employment",3800
"1977-06","Ontario","Full-time employment",3264.8
"1977-06","Ontario","Part-time employment ",535.2
"1977-06","Ontario","Unemployment",273.2
"1977-06","Ontario","Unemployment rate",6.7
"1977-06","Ontario","Participation rate",64.3
"1977-06","Ontario","Employment rate",60
"1977-06","Manitoba","Population",747.2
"1977-06","Manitoba","Labour force",465.3
"1977-06","Manitoba","Employment",439.8
"1977-06","Manitoba","Full-time employment",373.7
"1977-06","Manitoba","Part-time employment ",66.1
"1977-06","Manitoba","Unemployment",25.5
"1977-06","Manitoba","Unemployment rate",5.5
"1977-06","Manitoba","Participation rate",62.3
"1977-06","Manitoba","Employment rate",58.9
"1977-06","Saskatchewan","Population",670.5
"1977-06","Saskatchewan","Labour force",412.3
"1977-06","Saskatchewan","Employment",394.5
"1977-06","Saskatchewan","Full-time employment",330.4
"1977-06","Saskatchewan","Part-time employment ",64.1
"1977-06","Saskatchewan","Unemployment",17.8
"1977-06","Saskatchewan","Unemployment rate",4.3
"1977-06","Saskatchewan","Participation rate",61.5
"1977-06","Saskatchewan","Employment rate",58.8
"1977-06","Alberta","Population",1395.4
"1977-06","Alberta","Labour force",940.3
"1977-06","Alberta","Employment",901.3
"1977-06","Alberta","Full-time employment",770.5
"1977-06","Alberta","Part-time employment ",130.8
"1977-06","Alberta","Unemployment",39
"1977-06","Alberta","Unemployment rate",4.1
"1977-06","Alberta","Participation rate",67.4
"1977-06","Alberta","Employment rate",64.6
"1977-06","British Columbia","Population",1918.5
"1977-06","British Columbia","Labour force",1188.6
"1977-06","British Columbia","Employment",1089
"1977-06","British Columbia","Full-time employment",919.5
"1977-06","British Columbia","Part-time employment ",169.5
"1977-06","British Columbia","Unemployment",99.6
"1977-06","British Columbia","Unemployment rate",8.4
"1977-06","British Columbia","Participation rate",62
"1977-06","British Columbia","Employment rate",56.8
"1977-07","Newfoundland and Labrador","Population",376.6
"1977-07","Newfoundland and Labrador","Labour force",190
"1977-07","Newfoundland and Labrador","Employment",160.4
"1977-07","Newfoundland and Labrador","Full-time employment",146.9
"1977-07","Newfoundland and Labrador","Part-time employment ",13.6
"1977-07","Newfoundland and Labrador","Unemployment",29.6
"1977-07","Newfoundland and Labrador","Unemployment rate",15.6
"1977-07","Newfoundland and Labrador","Participation rate",50.5
"1977-07","Newfoundland and Labrador","Employment rate",42.6
"1977-07","Prince Edward Island","Population",84.7
"1977-07","Prince Edward Island","Labour force",48
"1977-07","Prince Edward Island","Employment",43.3
"1977-07","Prince Edward Island","Full-time employment",37.5
"1977-07","Prince Edward Island","Part-time employment ",5.8
"1977-07","Prince Edward Island","Unemployment",4.7
"1977-07","Prince Edward Island","Unemployment rate",9.8
"1977-07","Prince Edward Island","Participation rate",56.7
"1977-07","Prince Edward Island","Employment rate",51.1
"1977-07","Nova Scotia","Population",599
"1977-07","Nova Scotia","Labour force",331.8
"1977-07","Nova Scotia","Employment",297.7
"1977-07","Nova Scotia","Full-time employment",258.4
"1977-07","Nova Scotia","Part-time employment ",39.2
"1977-07","Nova Scotia","Unemployment",34.1
"1977-07","Nova Scotia","Unemployment rate",10.3
"1977-07","Nova Scotia","Participation rate",55.4
"1977-07","Nova Scotia","Employment rate",49.7
"1977-07","New Brunswick","Population",491
"1977-07","New Brunswick","Labour force",262.6
"1977-07","New Brunswick","Employment",229.7
"1977-07","New Brunswick","Full-time employment",202.6
"1977-07","New Brunswick","Part-time employment ",27.1
"1977-07","New Brunswick","Unemployment",33
"1977-07","New Brunswick","Unemployment rate",12.6
"1977-07","New Brunswick","Participation rate",53.5
"1977-07","New Brunswick","Employment rate",46.8
"1977-07","Quebec","Population",4814.1
"1977-07","Quebec","Labour force",2847.3
"1977-07","Quebec","Employment",2540.9
"1977-07","Quebec","Full-time employment",2300.6
"1977-07","Quebec","Part-time employment ",240.3
"1977-07","Quebec","Unemployment",306.4
"1977-07","Quebec","Unemployment rate",10.8
"1977-07","Quebec","Participation rate",59.1
"1977-07","Quebec","Employment rate",52.8
"1977-07","Ontario","Population",6341
"1977-07","Ontario","Labour force",4086.9
"1977-07","Ontario","Employment",3809.1
"1977-07","Ontario","Full-time employment",3274.6
"1977-07","Ontario","Part-time employment ",534.5
"1977-07","Ontario","Unemployment",277.8
"1977-07","Ontario","Unemployment rate",6.8
"1977-07","Ontario","Participation rate",64.5
"1977-07","Ontario","Employment rate",60.1
"1977-07","Manitoba","Population",747.8
"1977-07","Manitoba","Labour force",464.5
"1977-07","Manitoba","Employment",438.5
"1977-07","Manitoba","Full-time employment",372.4
"1977-07","Manitoba","Part-time employment ",66.1
"1977-07","Manitoba","Unemployment",26
"1977-07","Manitoba","Unemployment rate",5.6
"1977-07","Manitoba","Participation rate",62.1
"1977-07","Manitoba","Employment rate",58.6
"1977-07","Saskatchewan","Population",671.5
"1977-07","Saskatchewan","Labour force",413.5
"1977-07","Saskatchewan","Employment",393.3
"1977-07","Saskatchewan","Full-time employment",332.8
"1977-07","Saskatchewan","Part-time employment ",60.5
"1977-07","Saskatchewan","Unemployment",20.2
"1977-07","Saskatchewan","Unemployment rate",4.9
"1977-07","Saskatchewan","Participation rate",61.6
"1977-07","Saskatchewan","Employment rate",58.6
"1977-07","Alberta","Population",1401.3
"1977-07","Alberta","Labour force",941.6
"1977-07","Alberta","Employment",901.2
"1977-07","Alberta","Full-time employment",764.3
"1977-07","Alberta","Part-time employment ",137
"1977-07","Alberta","Unemployment",40.4
"1977-07","Alberta","Unemployment rate",4.3
"1977-07","Alberta","Participation rate",67.2
"1977-07","Alberta","Employment rate",64.3
"1977-07","British Columbia","Population",1922.3
"1977-07","British Columbia","Labour force",1198.1
"1977-07","British Columbia","Employment",1097.3
"1977-07","British Columbia","Full-time employment",929.5
"1977-07","British Columbia","Part-time employment ",167.8
"1977-07","British Columbia","Unemployment",100.8
"1977-07","British Columbia","Unemployment rate",8.4
"1977-07","British Columbia","Participation rate",62.3
"1977-07","British Columbia","Employment rate",57.1
"1977-08","Newfoundland and Labrador","Population",377
"1977-08","Newfoundland and Labrador","Labour force",191.5
"1977-08","Newfoundland and Labrador","Employment",161.4
"1977-08","Newfoundland and Labrador","Full-time employment",147.3
"1977-08","Newfoundland and Labrador","Part-time employment ",14.1
"1977-08","Newfoundland and Labrador","Unemployment",30.1
"1977-08","Newfoundland and Labrador","Unemployment rate",15.7
"1977-08","Newfoundland and Labrador","Participation rate",50.8
"1977-08","Newfoundland and Labrador","Employment rate",42.8
"1977-08","Prince Edward Island","Population",84.8
"1977-08","Prince Edward Island","Labour force",48.8
"1977-08","Prince Edward Island","Employment",43.9
"1977-08","Prince Edward Island","Full-time employment",38.4
"1977-08","Prince Edward Island","Part-time employment ",5.5
"1977-08","Prince Edward Island","Unemployment",4.9
"1977-08","Prince Edward Island","Unemployment rate",10
"1977-08","Prince Edward Island","Participation rate",57.5
"1977-08","Prince Edward Island","Employment rate",51.8
"1977-08","Nova Scotia","Population",600.1
"1977-08","Nova Scotia","Labour force",333.6
"1977-08","Nova Scotia","Employment",299
"1977-08","Nova Scotia","Full-time employment",257.5
"1977-08","Nova Scotia","Part-time employment ",41.5
"1977-08","Nova Scotia","Unemployment",34.6
"1977-08","Nova Scotia","Unemployment rate",10.4
"1977-08","Nova Scotia","Participation rate",55.6
"1977-08","Nova Scotia","Employment rate",49.8
"1977-08","New Brunswick","Population",491.8
"1977-08","New Brunswick","Labour force",264
"1977-08","New Brunswick","Employment",229.4
"1977-08","New Brunswick","Full-time employment",200.7
"1977-08","New Brunswick","Part-time employment ",28.7
"1977-08","New Brunswick","Unemployment",34.6
"1977-08","New Brunswick","Unemployment rate",13.1
"1977-08","New Brunswick","Participation rate",53.7
"1977-08","New Brunswick","Employment rate",46.6
"1977-08","Quebec","Population",4817.6
"1977-08","Quebec","Labour force",2848
"1977-08","Quebec","Employment",2550.2
"1977-08","Quebec","Full-time employment",2309.8
"1977-08","Quebec","Part-time employment ",240.4
"1977-08","Quebec","Unemployment",297.8
"1977-08","Quebec","Unemployment rate",10.5
"1977-08","Quebec","Participation rate",59.1
"1977-08","Quebec","Employment rate",52.9
"1977-08","Ontario","Population",6355.6
"1977-08","Ontario","Labour force",4104.5
"1977-08","Ontario","Employment",3811.3
"1977-08","Ontario","Full-time employment",3270.7
"1977-08","Ontario","Part-time employment ",540.6
"1977-08","Ontario","Unemployment",293.2
"1977-08","Ontario","Unemployment rate",7.1
"1977-08","Ontario","Participation rate",64.6
"1977-08","Ontario","Employment rate",60
"1977-08","Manitoba","Population",748.4
"1977-08","Manitoba","Labour force",467.2
"1977-08","Manitoba","Employment",441.3
"1977-08","Manitoba","Full-time employment",376.3
"1977-08","Manitoba","Part-time employment ",65.1
"1977-08","Manitoba","Unemployment",25.8
"1977-08","Manitoba","Unemployment rate",5.5
"1977-08","Manitoba","Participation rate",62.4
"1977-08","Manitoba","Employment rate",59
"1977-08","Saskatchewan","Population",672.7
"1977-08","Saskatchewan","Labour force",418.3
"1977-08","Saskatchewan","Employment",399.3
"1977-08","Saskatchewan","Full-time employment",335.4
"1977-08","Saskatchewan","Part-time employment ",63.9
"1977-08","Saskatchewan","Unemployment",19
"1977-08","Saskatchewan","Unemployment rate",4.5
"1977-08","Saskatchewan","Participation rate",62.2
"1977-08","Saskatchewan","Employment rate",59.4
"1977-08","Alberta","Population",1409.5
"1977-08","Alberta","Labour force",949.6
"1977-08","Alberta","Employment",908.6
"1977-08","Alberta","Full-time employment",771.9
"1977-08","Alberta","Part-time employment ",136.7
"1977-08","Alberta","Unemployment",41
"1977-08","Alberta","Unemployment rate",4.3
"1977-08","Alberta","Participation rate",67.4
"1977-08","Alberta","Employment rate",64.5
"1977-08","British Columbia","Population",1927.6
"1977-08","British Columbia","Labour force",1194
"1977-08","British Columbia","Employment",1092.2
"1977-08","British Columbia","Full-time employment",920.9
"1977-08","British Columbia","Part-time employment ",171.3
"1977-08","British Columbia","Unemployment",101.8
"1977-08","British Columbia","Unemployment rate",8.5
"1977-08","British Columbia","Participation rate",61.9
"1977-08","British Columbia","Employment rate",56.7
"1977-09","Newfoundland and Labrador","Population",377.6
"1977-09","Newfoundland and Labrador","Labour force",191.7
"1977-09","Newfoundland and Labrador","Employment",160
"1977-09","Newfoundland and Labrador","Full-time employment",146.4
"1977-09","Newfoundland and Labrador","Part-time employment ",13.5
"1977-09","Newfoundland and Labrador","Unemployment",31.7
"1977-09","Newfoundland and Labrador","Unemployment rate",16.5
"1977-09","Newfoundland and Labrador","Participation rate",50.8
"1977-09","Newfoundland and Labrador","Employment rate",42.4
"1977-09","Prince Edward Island","Population",85.1
"1977-09","Prince Edward Island","Labour force",47.8
"1977-09","Prince Edward Island","Employment",43.5
"1977-09","Prince Edward Island","Full-time employment",37.6
"1977-09","Prince Edward Island","Part-time employment ",5.9
"1977-09","Prince Edward Island","Unemployment",4.4
"1977-09","Prince Edward Island","Unemployment rate",9.2
"1977-09","Prince Edward Island","Participation rate",56.2
"1977-09","Prince Edward Island","Employment rate",51.1
"1977-09","Nova Scotia","Population",600.8
"1977-09","Nova Scotia","Labour force",331.4
"1977-09","Nova Scotia","Employment",296
"1977-09","Nova Scotia","Full-time employment",255
"1977-09","Nova Scotia","Part-time employment ",41
"1977-09","Nova Scotia","Unemployment",35.4
"1977-09","Nova Scotia","Unemployment rate",10.7
"1977-09","Nova Scotia","Participation rate",55.2
"1977-09","Nova Scotia","Employment rate",49.3
"1977-09","New Brunswick","Population",492.5
"1977-09","New Brunswick","Labour force",263
"1977-09","New Brunswick","Employment",226.9
"1977-09","New Brunswick","Full-time employment",200.3
"1977-09","New Brunswick","Part-time employment ",26.7
"1977-09","New Brunswick","Unemployment",36.1
"1977-09","New Brunswick","Unemployment rate",13.7
"1977-09","New Brunswick","Participation rate",53.4
"1977-09","New Brunswick","Employment rate",46.1
"1977-09","Quebec","Population",4820.4
"1977-09","Quebec","Labour force",2864.1
"1977-09","Quebec","Employment",2552
"1977-09","Quebec","Full-time employment",2310.7
"1977-09","Quebec","Part-time employment ",241.3
"1977-09","Quebec","Unemployment",312
"1977-09","Quebec","Unemployment rate",10.9
"1977-09","Quebec","Participation rate",59.4
"1977-09","Quebec","Employment rate",52.9
"1977-09","Ontario","Population",6366.8
"1977-09","Ontario","Labour force",4105.8
"1977-09","Ontario","Employment",3811.4
"1977-09","Ontario","Full-time employment",3269.5
"1977-09","Ontario","Part-time employment ",541.9
"1977-09","Ontario","Unemployment",294.4
"1977-09","Ontario","Unemployment rate",7.2
"1977-09","Ontario","Participation rate",64.5
"1977-09","Ontario","Employment rate",59.9
"1977-09","Manitoba","Population",749
"1977-09","Manitoba","Labour force",464.3
"1977-09","Manitoba","Employment",438.3
"1977-09","Manitoba","Full-time employment",374.7
"1977-09","Manitoba","Part-time employment ",63.6
"1977-09","Manitoba","Unemployment",26.1
"1977-09","Manitoba","Unemployment rate",5.6
"1977-09","Manitoba","Participation rate",62
"1977-09","Manitoba","Employment rate",58.5
"1977-09","Saskatchewan","Population",673.8
"1977-09","Saskatchewan","Labour force",417.5
"1977-09","Saskatchewan","Employment",399.2
"1977-09","Saskatchewan","Full-time employment",333.2
"1977-09","Saskatchewan","Part-time employment ",66
"1977-09","Saskatchewan","Unemployment",18.3
"1977-09","Saskatchewan","Unemployment rate",4.4
"1977-09","Saskatchewan","Participation rate",62
"1977-09","Saskatchewan","Employment rate",59.2
"1977-09","Alberta","Population",1415.6
"1977-09","Alberta","Labour force",958.1
"1977-09","Alberta","Employment",915.2
"1977-09","Alberta","Full-time employment",778.4
"1977-09","Alberta","Part-time employment ",136.8
"1977-09","Alberta","Unemployment",42.9
"1977-09","Alberta","Unemployment rate",4.5
"1977-09","Alberta","Participation rate",67.7
"1977-09","Alberta","Employment rate",64.7
"1977-09","British Columbia","Population",1932
"1977-09","British Columbia","Labour force",1195.2
"1977-09","British Columbia","Employment",1094.5
"1977-09","British Columbia","Full-time employment",925.7
"1977-09","British Columbia","Part-time employment ",168.8
"1977-09","British Columbia","Unemployment",100.7
"1977-09","British Columbia","Unemployment rate",8.4
"1977-09","British Columbia","Participation rate",61.9
"1977-09","British Columbia","Employment rate",56.7
"1977-10","Newfoundland and Labrador","Population",378
"1977-10","Newfoundland and Labrador","Labour force",192.1
"1977-10","Newfoundland and Labrador","Employment",159.8
"1977-10","Newfoundland and Labrador","Full-time employment",146.9
"1977-10","Newfoundland and Labrador","Part-time employment ",12.9
"1977-10","Newfoundland and Labrador","Unemployment",32.3
"1977-10","Newfoundland and Labrador","Unemployment rate",16.8
"1977-10","Newfoundland and Labrador","Participation rate",50.8
"1977-10","Newfoundland and Labrador","Employment rate",42.3
"1977-10","Prince Edward Island","Population",85.2
"1977-10","Prince Edward Island","Labour force",48
"1977-10","Prince Edward Island","Employment",43.4
"1977-10","Prince Edward Island","Full-time employment",37.5
"1977-10","Prince Edward Island","Part-time employment ",6
"1977-10","Prince Edward Island","Unemployment",4.6
"1977-10","Prince Edward Island","Unemployment rate",9.6
"1977-10","Prince Edward Island","Participation rate",56.3
"1977-10","Prince Edward Island","Employment rate",50.9
"1977-10","Nova Scotia","Population",601.6
"1977-10","Nova Scotia","Labour force",332.1
"1977-10","Nova Scotia","Employment",297.9
"1977-10","Nova Scotia","Full-time employment",256.5
"1977-10","Nova Scotia","Part-time employment ",41.3
"1977-10","Nova Scotia","Unemployment",34.3
"1977-10","Nova Scotia","Unemployment rate",10.3
"1977-10","Nova Scotia","Participation rate",55.2
"1977-10","Nova Scotia","Employment rate",49.5
"1977-10","New Brunswick","Population",493.1
"1977-10","New Brunswick","Labour force",264.8
"1977-10","New Brunswick","Employment",228.5
"1977-10","New Brunswick","Full-time employment",201.1
"1977-10","New Brunswick","Part-time employment ",27.4
"1977-10","New Brunswick","Unemployment",36.3
"1977-10","New Brunswick","Unemployment rate",13.7
"1977-10","New Brunswick","Participation rate",53.7
"1977-10","New Brunswick","Employment rate",46.3
"1977-10","Quebec","Population",4823.1
"1977-10","Quebec","Labour force",2868.8
"1977-10","Quebec","Employment",2545.1
"1977-10","Quebec","Full-time employment",2297.2
"1977-10","Quebec","Part-time employment ",247.9
"1977-10","Quebec","Unemployment",323.7
"1977-10","Quebec","Unemployment rate",11.3
"1977-10","Quebec","Participation rate",59.5
"1977-10","Quebec","Employment rate",52.8
"1977-10","Ontario","Population",6377.3
"1977-10","Ontario","Labour force",4126.2
"1977-10","Ontario","Employment",3839.2
"1977-10","Ontario","Full-time employment",3289.8
"1977-10","Ontario","Part-time employment ",549.4
"1977-10","Ontario","Unemployment",287.1
"1977-10","Ontario","Unemployment rate",7
"1977-10","Ontario","Participation rate",64.7
"1977-10","Ontario","Employment rate",60.2
"1977-10","Manitoba","Population",749.8
"1977-10","Manitoba","Labour force",468.3
"1977-10","Manitoba","Employment",440.9
